id,fonte,link
1,Petrobras — Quem Somos | Comunica Bacia de Santos,https://comunicabaciadesantos.petrobras.com.br/quem-somos
2,Petrobras — Pré-sal Bacia de Santos | Comunica Bacia de Santos,https://comunicabaciadesantos.petrobras.com.br/pre-sal-bacia-de-santos
3,Petrobras — Pré-sal: mergulhe nessa jornada ultraprofunda,https://petrobras.com.br/pre-sal
4,Agência Petrobras — Petrobras descobre petróleo em águas ultraprofundas da Bacia Potiguar,https://agencia.petrobras.com.br/w/negocio/petrobras-descobre-petroleo-em-aguas-ultra-profundas-da-bacia-potiguar
5,Universidade Petrobras — Estratigrafia e modelos deposicionais carbonáticos do Pré-sal da Bacia de Santos,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/16
6,Universidade Petrobras — Campo de Mero: caracterização dos reservatórios e desenvolvimento da produção,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/22
7,Universidade Petrobras — Campo de Búzios: a jornada desde a caracterização dos reservatórios ao início do desenvolvimento da produção,https://publicacoesup.petrobras.com.br/peld/catalog/book/12/chapter/23
8,SGB — Petróleo do Pré-Sal,https://www.sgb.gov.br/petroleo-do-pre-sal
9,SGB — Petróleo,https://www.sgb.gov.br/petroleo
10,SGB — Geologia,https://www.sgb.gov.br/geologia
11,SGB — Rochas,https://www.sgb.gov.br/rochas
12,SGB — Como Sabemos a Idade das Rochas?,https://www.sgb.gov.br/como-sabemos-a-idade-das-rochas
13,UFES — Isto é Geologia!,https://geologia.ufes.br/isto-%C3%A9-geologia
14,Wikipédia — Sistema petrolífero,https://pt.wikipedia.org/wiki/Sistema_petrol%C3%ADfero
15,Wikipédia — Geologia do petróleo,https://pt.wikipedia.org/wiki/Geologia_do_petr%C3%B3leo
16,Wikipédia — Bacia de Campos,https://pt.wikipedia.org/wiki/Bacia_de_Campos
17,Wikipédia — Turbidito,https://pt.wikipedia.org/wiki/Turbidito
18,Wikipédia — Evaporito,https://pt.wikipedia.org/wiki/Evaporito
19,Wikipédia — Petróleo,https://pt.wikipedia.org/wiki/Petr%C3%B3leo
20,Wikipédia — Plataforma continental do Brasil,https://pt.wikipedia.org/wiki/Plataforma_continental_do_Brasil
